Países,Fecha,Deuda total (M.€),Deuda (%PIB),Deuda Per Cápita,testA,testB
España [+],2018,1.173.303,"97,60%",24.999€,2018,58
Alemania [+],2018,2.063.172,"60,90%",24.852€,2018,80
